Race,Highest_Education,Gender,PTOT_R,PEARNVAL,A_MARITL,HEA,MIG_DIV
1,43,1,37,90000,1,2,1
13,39,2,1,0,2,2,1
1,39,1,21,52000,1,2,1
4,43,2,24,59000,1,1,2
1,40,1,23,56000,1,1,2
1,44,2,17,26000,5,2,1
1,44,2,41,131000,1,1,1
1,42,1,1,0,1,2,1
1,41,1,17,40000,5,3,1
1,39,2,18,0,4,3,1
1,44,2,13,0,7,2,1
1,43,1,22,0,1,1,1
1,45,2,41,60000,1,1,1
1,37,2,5,0,4,2,1
1,43,1,17,0,1,1,1
1,39,2,15,0,1,1,1
1,43,2,13,32240,1,1,1
1,44,1,13,30000,1,1,1
1,43,2,17,25000,7,1,1
4,43,1,23,55000,1,2,1
4,41,2,7,15000,1,2,1
4,0,2,0,0,7,1,1
4,36,1,1,0,1,3,1
4,36,2,1,0,1,3,1
1,43,2,29,70000,1,2,1
1,43,1,32,75000,1,2,1
1,0,1,0,0,7,2,1
1,0,1,0,0,7,2,1
8,44,2,41,180000,7,5,1
1,34,2,4,0,4,2,1
1,43,1,25,60000,7,2,1
1,44,2,24,58000,7,2,1
1,43,2,15,35000,7,2,1
1,43,1,33,75000,7,1,1
1,43,1,29,70000,7,2,1
6,43,1,25,61000,1,1,1
1,43,2,34,80000,1,1,1
1,39,1,6,0,5,4,1
1,39,2,8,18100,7,2,1
1,38,1,1,0,7,1,1
1,0,1,0,0,7,1,1
1,37,1,4,8000,7,3,1
1,42,1,25,60000,5,2,1
1,40,1,21,10000,7,2,1
1,37,2,5,10000,7,2,1
1,36,2,5,10000,7,2,1
1,0,1,0,0,7,2,1
1,0,2,0,0,7,2,1
1,42,2,17,42000,7,2,1
1,40,1,4,8000,7,3,1
1,39,1,1,0,7,4,1
1,39,2,18,18000,5,2,1
1,43,1,16,38000,3,1,1
1,0,1,0,0,7,1,1
1,44,2,9,20000,3,1,1
1,43,1,14,0,5,4,1
4,39,1,22,0,1,1,1
4,33,2,9,0,1,1,1
1,39,1,9,0,1,2,1
1,40,2,13,0,1,2,1
1,43,2,20,40000,5,2,1
1,41,2,26,12000,4,4,1
1,43,1,33,75000,1,1,1
1,46,2,41,160000,1,1,1
1,44,1,8,0,1,4,1
1,43,2,7,0,1,4,1
1,42,1,8,0,1,2,1
1,43,2,29,70000,1,2,1
1,44,2,23,54000,4,2,1
1,39,2,6,0,1,3,1
1,41,1,11,17000,1,3,1
1,43,2,41,110000,7,1,1
1,43,2,41,8777,4,2,1
1,44,1,25,60002,5,4,1
1,44,2,41,115000,5,1,1
1,45,2,41,270000,7,1,1
1,43,2,17,40000,1,2,1
1,43,1,9,20000,1,3,1
1,40,1,7,0,1,4,1
1,39,2,6,0,1,5,1
1,43,2,15,35000,1,3,1
1,41,2,16,38000,1,3,1
1,43,2,24,55000,7,2,1
1,42,2,19,45000,1,3,1
1,42,1,7,15000,1,3,1
1,44,1,9,2,7,2,1
1,44,2,26,63000,7,2,1
1,43,2,25,60000,7,2,1
1,36,2,7,15000,3,4,1
1,39,1,4,2500,7,4,1
1,43,2,7,0,4,2,1
1,40,1,35,43000,4,2,1
1,43,1,41,110000,7,1,1
1,43,2,30,0,1,3,1
1,39,1,20,3972,1,1,1
1,39,2,41,34000,5,4,1
